trade_week,Gate,Regime_csi,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2021-11-12,RISK-ON,OFF,0.5993,6,59.93,15.15,农业,14.98,2.3139,1.11,2.2624
2021-11-19,RISK-ON,OFF,0.6223,5,62.23,8.64,AI数字,23.34,-0.351,0.76,2.2545
2021-11-26,RISK-ON,OFF,0.6018,6,60.18,16.07,AI数字,22.57,-1.4588,0.43,2.2216
2021-12-03,RISK-ON,OFF,0.6018,6,60.18,22.57,周期资源,15.05,0.645,0.8,2.2359
2021-12-10,RISK-ON,OFF,0.5996,6,59.96,37.56,周期资源,22.49,-0.1648,1.13,2.2322
2021-12-17,RISK-ON,OFF,0.5837,7,58.37,37.28,周期资源,29.19,-1.4366,1.88,2.2002
2021-12-24,RISK-ON,OFF,0.5777,6,57.77,36.33,农业,14.44,-0.6526,1.86,2.1858
2021-12-31,RISK-ON,OFF,0.5841,5,58.41,21.99,农业,14.6,-0.2947,1.82,2.1794
2022-01-07,RISK-ON,OFF,0.6164,5,61.64,15.81,农业,15.41,0.6878,1.1,2.1943
2022-01-14,RISK-OFF,OFF,0.6107,1,61.07,61.35,周期资源,61.07,-0.6756,0.79,2.1795
2022-01-21,RISK-OFF,OFF,0.6734,1,67.34,3.14,周期资源,67.34,0.2731,3.07,2.1855
2022-01-28,RISK-OFF,OFF,0.6619,1,66.19,0.57,周期资源,66.19,-1.3164,0.16,2.1567
2022-02-11,RISK-OFF,OFF,0.6619,1,66.19,0.0,周期资源,66.19,0.891,0.03,2.1759
2022-02-18,RISK-OFF,OFF,0.65,1,65.0,0.6,周期资源,65.0,2.0519,0.0,2.2206
2022-02-25,RISK-OFF,OFF,0.6686,1,66.86,0.93,周期资源,66.86,0.8023,0.03,2.2384
2022-03-04,RISK-OFF,ON,0.7652,1,76.52,4.83,周期资源,76.52,0.5846,0.05,2.2515
2022-03-11,RISK-OFF,ON,0.7675,1,76.75,0.12,周期资源,76.75,1.9889,0.24,2.2962
2022-03-18,RISK-OFF,ON,0.9048,1,90.48,6.86,周期资源,90.48,-1.7502,0.01,2.2561
2022-03-25,RISK-OFF,ON,0.9649,1,96.49,3.0,周期资源,96.49,1.4437,0.34,2.2886
2022-04-01,RISK-OFF,ON,0.9732,1,97.32,0.42,周期资源,97.32,-1.4706,0.15,2.255
2022-04-08,RISK-OFF,ON,0.9841,1,98.41,0.55,周期资源,98.41,-0.0512,0.02,2.2538
2022-04-15,RISK-OFF,ON,0.9629,1,96.29,1.06,周期资源,96.29,2.3994,0.03,2.3079
2022-04-22,RISK-OFF,ON,0.9811,1,98.11,0.91,周期资源,98.11,0.1966,0.05,2.3124
2022-04-29,RISK-OFF,ON,0.9797,1,97.97,0.07,周期资源,97.97,-0.226,0.05,2.3072
2022-05-06,RISK-OFF,ON,0.9764,1,97.64,0.17,周期资源,97.64,-0.4766,0.0,2.2962
2022-05-13,RISK-OFF,ON,0.9745,1,97.45,0.09,周期资源,97.45,-0.8541,0.01,2.2766
2022-05-20,RISK-OFF,ON,1.0,1,100.0,1.28,周期资源,100.0,-0.4047,0.0,2.2674
2022-05-27,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,1.1461,0.06,2.2934
2022-06-02,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.9534,0.0,2.2715
2022-06-10,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.3902,0.0,2.2626
2022-06-17,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.2089,0.0,2.2674
2022-06-24,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.1467,0.0,2.2414
2022-07-01,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.1864,0.0,2.2148
2022-07-08,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-2.9082,0.0,2.1504
2022-07-15,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.319,0.0,2.122
2022-07-22,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.8911,0.0,2.1409
2022-07-29,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,2.3461,0.0,2.1911
